Date,Close,Open,High,Low,Volume
2023-06-30,767.89,764.25,770.98,759.21,4580000
2023-06-29,762.22,769.83,774.01,762.22,5160000
2023-06-28,775.75,784.85,786.13,774.73,3630000
2023-06-27,783.01,777.04,786.04,776.56,7630000
2023-06-26,778.48,770.07,779.22,762.31,3670000
2023-06-23,768.73,777.09,778.13,768.18,4120000
2023-06-22,779.36,781.05,781.44,776.91,3230000
2023-06-21,780.19,788.6,788.6,778.38,5030000
2023-06-20,787.04,792.72,798.36,785.63,3900000
2023-06-19,790.01,798.24,798.79,787.52,4240000
2023-06-16,798.51,795.93,802.99,795.13,5420000
2023-06-15,790.8,792.62,799.31,789.71,4650000
2023-06-14,790.45,797.28,797.73,789.15,5290000
2023-06-13,799.31,803.68,805.09,797.68,4040000
2023-06-12,801.24,810.45,810.45,798.77,4139999
2023-06-09,810.35,812.64,820.36,808.96,4780000
2023-06-08,809.18,815.29,816.76,807.38,5530000
2023-06-07,813.15,817.58,821.55,812.94,4230000
2023-06-05,813.74,810.62,815.96,809.93,3570000
2023-06-02,807.4,807.07,808.06,803.52,3730000
2023-06-01,805.92,807.42,810.22,804.43,5960000
2023-05-31,804.84,804.05,811.97,803.68,8920000
2023-05-30,805.08,817.88,817.97,804.9,4260000
2023-05-26,815.92,816.07,817.79,812.68,2810000
2023-05-25,818.37,820.64,824.86,817.97,3430000
2023-05-24,825.57,826.81,829.48,823.56,3360000
2023-05-23,828.46,827.87,830.99,825.32,3400000
2023-05-22,826.62,822.04,829.74,820.14,3830000
2023-05-19,821.17,819.79,823.49,818.07,3790000
2023-05-18,818.93,821.56,822.36,815.59,4160000
2023-05-17,820.66,825.67,828.08,820.25,4150000
2023-05-16,828.06,830.88,833.77,826.02,4990000
2023-05-15,833.35,832.87,834.56,825.06,6360000
2023-05-12,833.29,837.23,837.23,827.27,6760000
2023-05-11,839.6,843.99,847.77,839.6,5130000
2023-05-10,843.29,842.45,850.61,840.77,4960000
2023-05-09,844.0,844.38,847.27,840.95,3770000
2023-05-08,846.11,840.09,848.24,839.62,3650000
2023-05-04,839.98,838.03,841.56,834.94,4150000
2023-05-03,842.04,854.09,857.75,840.55,5000000
2023-05-02,855.22,849.26,856.59,848.05,4080000
2023-04-28,851.79,841.83,852.65,836.09,3800000
2023-04-27,845.01,845.82,851.65,839.92,3500000
2023-04-26,847.49,843.03,851.91,839.14,3470000
2023-04-25,844.29,851.47,853.31,842.28,4160000
2023-04-24,853.54,861.82,863.13,841.4,6590000
2023-04-21,863.6,878.77,878.89,861.09,5510000
2023-04-20,885.04,886.53,887.41,881.95,4370000
2023-04-19,887.83,884.54,892.33,884.06,5280000
2023-04-18,882.18,863.54,883.94,861.67,5470000
2023-04-17,867.22,870.01,870.28,862.06,4650000
2023-04-14,868.28,866.44,875.27,866.44,4610000
2023-04-13,864.61,864.44,869.63,861.51,4400000
2023-04-12,865.41,861.67,866.22,857.74,5260000
2023-04-11,862.63,852.6,867.21,848.82,4480000
2023-04-10,854.61,856.3,860.35,849.05,5420000
2023-04-07,860.15,853.93,861.64,850.19,3100000
2023-04-06,857.97,860.5,865.9,856.31,3950000
2023-04-05,860.48,864.09,871.91,859.9,3270000
2023-04-04,864.44,859.34,864.58,855.7,3370000
2023-04-03,857.15,856.33,863.62,855.15,3830000
2023-03-31,858.59,859.3,865.74,854.79,7380000
2023-03-30,856.72,854.56,859.91,850.72,4570000
2023-03-29,860.88,855.16,862.39,854.19,5300000
2023-03-28,851.67,850.15,855.05,845.02,3920000
2023-03-27,848.0,846.45,848.86,836.27,3540000
2023-03-24,842.72,839.69,845.32,838.12,3500000
2023-03-23,847.59,844.53,849.46,839.75,3500000
2023-03-22,845.09,858.11,858.58,843.86,3300000
2023-03-21,853.76,853.2,855.67,846.6,3420000
2023-03-20,849.1,849.65,860.05,847.17,4210000
2023-03-17,846.21,835.59,848.36,834.26,6350000
2023-03-16,827.5,832.19,832.19,824.67,3490000
2023-03-15,837.64,835.44,842.58,834.08,3900000
2023-03-14,830.79,838.28,838.84,830.16,4130000
2023-03-13,844.45,845.79,846.11,831.81,3630000
2023-03-10,843.14,850.77,850.77,841.24,4150000
2023-03-09,856.31,863.97,866.71,855.3,5390000
2023-03-08,862.43,867.97,870.29,860.86,4430000
2023-03-07,875.52,876.61,880.07,873.12,3470000
2023-03-06,876.89,883.11,886.4,876.89,3810000
2023-03-03,879.84,881.71,884.54,878.67,3220000
2023-03-02,880.09,875.97,887.91,875.97,5170000
2023-02-28,874.67,883.88,884.08,874.6,4820000
2023-02-27,881.29,885.67,885.67,869.36,5460000
2023-02-24,892.08,890.12,896.75,889.1,4040000
2023-02-23,893.51,886.53,897.98,886.39,3660000
2023-02-22,884.2,888.81,891.92,882.32,4080000
2023-02-21,893.5,897.28,899.18,892.02,3840000
2023-02-20,896.19,885.4,897.8,883.92,3400000
2023-02-17,884.87,886.19,891.69,879.37,3550000
2023-02-16,891.04,891.8,895.39,888.64,4520000
2023-02-15,888.45,902.93,903.82,887.34,6830000
2023-02-14,903.09,902.08,904.67,898.94,4160000
2023-02-13,898.77,897.73,900.76,888.76,3760000
2023-02-10,900.71,900.68,902.19,893.47,4310000
2023-02-09,902.67,899.69,910.78,899.67,5020000
2023-02-08,903.94,899.13,903.94,897.86,4850000
2023-02-07,898.18,900.54,902.99,893.41,4560000
2023-02-06,900.44,906.75,907.19,895.52,4170000
2023-02-03,906.36,900.21,907.94,895.61,4900000
2023-02-02,903.41,908.62,914.41,902.36,6880000
2023-02-01,900.7,907.77,907.89,896.35,5550000
2023-01-31,916.22,919.32,925.02,913.41,5350000
2023-01-30,917.92,927.4,931.9,916.42,3880000
2023-01-27,927.85,917.3,929.98,911.62,4440000
2023-01-26,920.43,920.5,922.5,914.07,3980000
2023-01-25,920.71,929.19,931.41,918.54,4030000
2023-01-20,927.42,925.04,928.58,920.67,3400000
2023-01-19,926.93,910.3,927.7,908.34,4270000
2023-01-18,914.0,911.54,914.0,902.33,3510000
2023-01-17,911.52,914.0,914.92,906.36,3490000
2023-01-16,912.99,906.21,918.76,903.75,3680000
2023-01-13,905.27,903.87,909.63,901.23,3630000
2023-01-12,897.57,906.52,906.96,897.1,5600000
2023-01-11,906.08,902.71,913.32,899.66,4350000
2023-01-10,902.05,911.52,912.68,896.44,4350000
2023-01-09,911.09,895.99,911.66,892.59,5130000
2023-01-06,885.57,880.68,891.46,880.18,4290000
2023-01-05,885.82,881.01,889.13,880.5,4950000
2023-01-04,878.15,882.95,884.18,874.02,4139999
2023-01-03,887.0,895.8,897.33,879.52,4550000
2023-01-02,893.0,913.55,914.56,887.71,8470000
2022-12-29,923.77,935.24,937.52,923.72,6180000
2022-12-28,943.49,927.3,947.13,925.24,8180000
2022-12-27,943.06,937.12,945.48,933.97,6780000
2022-12-26,930.66,933.77,935.91,922.79,4150000
2022-12-23,934.38,931.52,941.52,931.52,5750000
2022-12-22,938.26,930.87,938.26,923.93,4760000
2022-12-21,931.24,925.57,933.28,923.18,4960000
2022-12-20,919.62,914.82,923.79,912.68,3850000
2022-12-19,914.9,915.97,918.98,912.32,3800000
2022-12-16,918.72,909.68,922.13,906.04,8680000
2022-12-15,912.93,918.07,923.66,912.11,4030000
2022-12-14,920.04,920.35,921.35,913.76,3310000
2022-12-13,916.77,922.85,922.85,912.79,3090000
2022-12-12,918.82,927.34,930.97,917.7,4360000
2022-12-09,928.57,905.19,929.33,903.9,8430000
2022-12-08,899.96,903.91,905.24,890.91,5650000
2022-12-07,902.6,902.21,911.44,899.84,4480000
2022-12-06,899.28,901.16,909.66,898.27,4450000
2022-12-05,906.29,897.62,907.3,895.23,4960000
2022-12-02,892.2,891.4,898.81,887.38,5640000
2022-12-01,894.64,908.31,910.42,893.0,4580000
2022-11-30,903.26,890.0,905.6,890.0,12290000
2022-11-29,891.69,873.92,894.34,872.24,4540000
2022-11-28,873.22,871.24,880.06,864.65,3760000
2022-11-25,877.57,876.15,881.25,869.86,3510000
2022-11-24,873.67,875.22,877.36,870.13,2750000
2022-11-23,870.36,864.39,872.98,863.07,3960000
2022-11-22,861.81,865.47,867.27,859.84,3060000
2022-11-21,867.01,877.19,877.43,861.13,3660000
2022-11-18,874.78,877.49,882.91,873.71,4280000
2022-11-17,877.66,884.75,886.37,877.01,4000000
2022-11-16,882.72,880.01,885.56,873.44,5320000
2022-11-15,879.25,873.39,879.58,868.88,5250000
2022-11-14,867.93,860.02,878.65,857.67,7090000
2022-11-11,855.74,853.04,860.24,848.0,8320000
2022-11-10,840.16,838.77,846.16,834.13,5790000
2022-11-09,841.32,833.61,843.82,831.16,8610000
2022-11-08,829.17,829.57,833.12,819.85,5470000
2022-11-07,822.69,823.49,825.97,815.17,4380000
2022-11-04,827.76,803.48,827.76,802.89,4900000
2022-11-03,801.66,802.45,806.8,798.25,3790000
2022-11-02,811.0,798.93,812.83,795.95,4470000
2022-11-01,802.64,798.6,809.57,797.39,5140000
2022-10-31,797.07,800.06,800.49,791.64,3860000
2022-10-28,795.06,795.44,800.87,789.86,3910000
2022-10-27,796.83,788.47,797.2,786.98,3940000
2022-10-26,785.32,784.29,788.74,780.61,4670000
2022-10-25,786.47,789.23,789.37,781.26,2920000
2022-10-24,786.84,795.76,798.79,784.58,3270000
2022-10-21,790.05,787.29,791.37,783.86,3760000
2022-10-20,789.49,791.02,792.16,783.48,4830000
2022-10-19,794.16,798.48,803.19,792.92,3340000
2022-10-18,797.36,800.82,800.84,790.54,3280000
2022-10-17,792.74,784.95,793.06,776.48,3460000
2022-10-14,792.18,784.59,796.18,783.42,4550000
2022-10-13,778.9,796.45,797.24,778.9,5610000
2022-10-12,798.91,802.26,802.28,789.27,4370000
2022-10-11,804.9,820.27,822.61,800.46,5020000
2022-10-07,829.52,825.76,830.59,823.39,3830000
2022-10-06,829.88,830.11,834.75,826.23,3140000
2022-10-05,824.59,833.31,834.15,820.54,4130000
2022-10-04,829.03,832.56,834.08,822.18,4050000
2022-09-30,830.27,837.43,843.58,827.79,6890000
2022-09-29,838.86,843.62,848.04,835.5,4290000
2022-09-28,838.48,847.99,856.73,831.94,4890000
2022-09-27,855.58,839.2,855.58,838.76,4440000
2022-09-26,837.62,844.91,844.91,834.37,5960000
2022-09-23,849.94,871.2,872.81,847.97,3920000
2022-09-22,870.12,863.17,874.37,862.66,5000000
2022-09-21,866.18,858.79,874.7,858.7,3810000
2022-09-20,862.48,858.38,862.64,853.52,3520000
2022-09-19,850.81,854.77,856.74,847.33,3620000
2022-09-16,852.49,847.53,853.15,841.8,4310000
2022-09-15,849.63,850.95,860.7,849.63,3000000
2022-09-14,849.4,847.17,852.69,840.31,3620000
2022-09-13,860.52,855.72,863.22,855.71,3880000
2022-09-08,845.43,849.14,850.92,840.97,3420000
2022-09-07,842.61,852.5,854.52,840.34,3790000
