Date,Close,Open,High,Low,Volume
2023-06-30,359.82,354.91,360.98,353.54,23560000
2023-06-29,353.14,354.09,358.46,352.58,14950000
2023-06-28,354.61,362.18,362.36,354.24,17050000
2023-06-27,360.12,355.84,361.26,352.51,17690000
2023-06-26,356.03,356.98,360.38,353.77,21610000
2023-06-23,357.26,360.44,363.22,356.19,21920000
2023-06-22,362.65,367.96,368.1,360.66,29750000
2023-06-21,368.72,368.58,374.1,366.29,38630000
2023-06-20,370.35,364.82,373.49,364.73,50880000
2023-06-19,364.03,361.21,365.49,360.78,31160000
2023-06-16,360.25,350.99,361.58,349.76,37020000
2023-06-15,349.19,347.77,349.92,345.67,25150000
2023-06-14,346.74,344.86,349.82,343.98,24740000
2023-06-13,343.91,345.85,347.64,343.63,25970000
2023-06-12,345.37,346.64,348.52,341.02,27070000
2023-06-09,344.99,343.52,346.15,340.21,33660000
2023-06-08,342.69,339.51,345.08,339.2,32729999
2023-06-07,339.3,338.38,339.91,336.27,21900000
2023-06-05,337.16,326.41,337.4,326.36,40740000
2023-06-02,322.86,318.1,322.98,317.49,13880000
2023-06-01,316.32,317.65,321.2,315.12,12410000
2023-05-31,316.18,318.99,320.03,315.74,14320000
2023-05-30,319.34,320.05,323.14,316.69,17320000
2023-05-26,317.22,319.29,320.58,314.86,15100000
2023-05-25,320.87,321.87,325.37,319.41,14790000
2023-05-24,323.69,317.91,326.67,317.31,28340000
2023-05-23,320.22,320.84,321.54,318.5,18930000
2023-05-22,319.34,308.42,319.97,308.34,28800000
2023-05-19,307.01,304.34,307.29,303.19,13550000
2023-05-18,303.6,300.25,303.69,299.1,11610000
2023-05-17,298.77,301.88,304.2,298.22,16079999
2023-05-16,302.54,302.81,304.08,300.62,15390000
2023-05-15,301.2,297.65,304.98,297.08,12080000
2023-05-12,297.93,303.97,304.07,297.24,13390000
2023-05-11,304.86,303.06,306.97,302.85,14240000
2023-05-10,300.36,303.59,305.26,299.6,14660000
2023-05-09,304.03,299.58,306.49,299.22,18980000
2023-05-08,298.67,299.81,302.39,297.59,15260000
2023-05-04,297.81,297.4,301.71,297.01,23160000
2023-05-03,296.96,298.57,304.01,296.53,22350000
2023-05-02,300.79,302.43,303.05,297.76,27060000
2023-04-28,303.57,306.3,310.66,301.51,39110000
2023-04-27,304.53,304.24,306.34,300.12,31390000
2023-04-26,305.09,308.72,310.37,305.06,35540000
2023-04-25,311.66,313.28,317.55,309.84,40480000
2023-04-24,311.73,312.81,316.97,310.25,33760000
2023-04-21,310.63,309.82,311.85,303.19,40640000
2023-04-20,310.56,306.66,313.21,306.11,49110000
2023-04-19,307.21,302.77,310.55,302.6,24440000
2023-04-18,304.2,306.65,308.27,301.84,24180000
2023-04-17,307.2,301.07,308.62,300.49,40540000
2023-04-14,299.92,296.31,302.11,293.09,30310000
2023-04-13,294.51,290.15,294.78,287.14,31580000
2023-04-12,290.61,281.24,291.25,281.12,50290000
2023-04-11,280.02,278.06,281.55,275.31,14200000
2023-04-10,278.11,278.38,280.06,274.09,14380000
2023-04-07,279.08,280.88,281.4,278.5,12680000
2023-04-06,281.08,284.07,286.6,280.79,17660000
2023-04-05,284.01,286.6,287.08,281.18,22010000
2023-04-04,287.32,281.52,287.9,281.1,23030000
2023-04-03,280.1,280.92,282.49,278.25,16739999
2023-03-31,279.42,276.01,280.5,275.41,22430000
2023-03-30,274.17,272.41,275.86,269.37,15410000
2023-03-29,272.4,272.54,274.26,268.61,16750000
2023-03-28,271.38,264.64,272.33,264.62,15190000
2023-03-27,263.68,266.24,266.33,261.01,13250000
2023-03-24,265.89,264.94,268.2,264.1,14080000
2023-03-23,265.49,267.21,268.28,264.64,14160000
2023-03-22,268.96,274.62,274.69,268.42,13190000
2023-03-21,272.05,271.05,272.95,269.48,12780000
2023-03-20,268.58,268.63,274.92,267.93,14090000
2023-03-17,268.16,271.49,271.62,267.29,13970000
2023-03-16,268.77,269.73,270.47,265.86,17210000
2023-03-15,272.54,268.51,273.3,267.58,18830000
2023-03-14,263.52,271.47,272.35,263.42,19440000
2023-03-13,273.99,272.39,274.31,266.51,17690000
2023-03-10,273.82,275.71,278.68,273.49,19750000
2023-03-09,278.56,278.06,281.91,277.49,37870000
2023-03-08,276.45,275.51,278.18,274.96,29880000
2023-03-07,279.2,280.3,281.86,278.29,14250000
