Date,Close,Open,High,Low,Volume
2023-06-30,861.73,856.39,863.01,852.33,1350000
2023-06-29,852.4,861.52,869.25,852.4,1980000
2023-06-28,863.07,881.04,881.81,862.83,2150000
2023-06-27,877.36,875.6,881.04,869.49,2170000
2023-06-26,874.93,869.63,883.36,867.48,2710000
2023-06-23,865.94,882.25,884.06,864.2,2510000
2023-06-22,882.3,872.88,886.2,868.52,2180000
2023-06-21,874.87,885.7,886.8,873.18,2190000
2023-06-20,886.84,890.97,896.64,884.22,20330000
2023-06-19,890.3,877.17,891.39,874.88,4240000
2023-06-16,876.22,874.84,879.79,872.49,4890000
2023-06-15,868.46,882.78,885.1,866.6,2890000
2023-06-14,879.45,872.46,900.58,871.77,4620000
2023-06-13,866.13,873.33,873.33,864.32,1820000
2023-06-12,870.42,876.69,878.76,869.2,1590000
2023-06-09,873.54,875.43,877.06,869.55,2320000
2023-06-08,870.18,865.45,876.76,864.86,2580000
2023-06-07,865.77,870.05,872.74,864.97,1930000
2023-06-05,866.85,860.08,869.23,858.88,2590000
2023-06-02,852.36,837.15,853.3,833.76,1960000
2023-06-01,833.0,833.49,836.39,827.13,2360000
2023-05-31,831.95,837.73,842.48,830.84,2830000
2023-05-30,836.59,842.39,844.42,834.71,1810000
2023-05-26,838.25,849.63,850.49,834.09,4320000
2023-05-25,850.02,856.29,859.42,847.92,2350000
2023-05-24,863.44,863.83,868.07,860.57,2180000
2023-05-23,868.97,870.26,876.04,867.21,2260000
2023-05-22,867.12,856.83,868.96,853.69,1780000
2023-05-19,858.11,862.98,864.35,853.62,2080000
2023-05-18,861.77,854.79,862.74,852.84,2610000
2023-05-17,849.16,853.93,853.93,845.39,2069999
2023-05-16,856.41,862.72,865.86,852.48,2140000
2023-05-15,861.5,856.12,862.05,848.3,2430000
2023-05-12,859.28,870.31,870.31,856.46,3160000
2023-05-11,870.78,872.13,882.8,870.64,2610000
2023-05-10,867.16,877.87,886.25,864.02,2980000
2023-05-09,882.77,883.0,886.95,870.53,2930000
2023-05-08,884.64,894.18,896.99,882.77,3290000
2023-05-04,886.82,890.11,894.97,879.16,3270000
2023-05-03,894.64,907.54,910.59,892.49,3500000
2023-05-02,912.39,896.45,913.67,896.33,6150000
2023-04-28,890.94,919.8,920.25,889.04,12310000
2023-04-27,913.76,899.69,916.21,886.07,8100000
2023-04-26,897.01,909.9,909.98,878.98,5810000
2023-04-25,913.35,938.11,938.32,903.35,7200000
2023-04-24,934.56,948.04,957.35,929.51,6130000
2023-04-21,949.69,963.83,967.04,945.25,7780000
2023-04-20,970.92,979.77,991.37,967.71,13550000
2023-04-19,976.89,961.67,988.04,961.56,27650000
2023-04-18,959.29,971.96,975.32,955.76,7980000
2023-04-17,969.78,956.11,981.85,955.14,10970000
2023-04-14,944.61,931.0,951.88,922.78,6290000
2023-04-13,917.64,922.6,923.85,898.11,6640000
2023-04-12,930.48,916.96,952.73,916.08,9290000
2023-04-11,915.64,904.88,921.12,897.52,9600000
2023-04-10,898.03,888.58,911.74,888.19,6720000
2023-04-07,878.05,875.08,880.15,869.26,6640000
2023-04-06,875.67,881.26,882.37,871.84,9910000
2023-04-05,883.54,875.89,887.97,869.31,5270000
2023-04-04,882.68,904.32,906.2,880.95,6510000
2023-04-03,902.92,899.18,915.05,894.69,7120000
2023-03-31,881.79,852.77,901.9,849.88,12200000
2023-03-30,853.68,848.4,858.45,842.31,3560000
2023-03-29,850.46,855.89,858.81,847.15,3520000
2023-03-28,852.44,838.58,853.74,837.25,4570000
2023-03-27,833.96,829.4,840.52,826.3,4230000
2023-03-24,823.59,832.4,835.89,820.97,2520000
2023-03-23,836.0,826.53,841.14,825.76,3400000
2023-03-22,834.84,841.4,850.64,832.24,4300000
2023-03-21,832.2,831.72,836.86,828.73,2370000
2023-03-20,820.04,822.99,832.83,817.95,2680000
2023-03-17,821.81,832.59,834.71,818.98,2570000
2023-03-16,822.81,822.63,828.7,815.46,3000000
2023-03-15,837.63,836.32,844.42,829.16,2680000
2023-03-14,820.29,842.95,843.49,820.25,2780000
2023-03-13,849.97,839.63,851.05,830.54,3050000
2023-03-10,843.93,837.47,852.54,836.48,2530000
2023-03-09,854.19,867.68,871.38,852.1,3790000
2023-03-08,861.69,872.73,874.53,858.57,4139999
2023-03-07,886.58,882.7,898.06,879.38,9520000
2023-03-06,883.06,909.69,909.69,877.68,6040000
2023-03-03,910.58,913.15,915.24,898.5,4860000
2023-03-02,905.33,878.37,914.39,878.23,7350000
2023-02-28,863.01,886.35,887.09,861.68,4220000
2023-02-27,878.24,871.26,878.34,866.58,4310000
2023-02-24,879.37,899.99,903.01,876.17,5380000
2023-02-23,901.65,915.13,915.13,894.01,6700000
2023-02-22,916.08,920.59,931.84,912.53,16480000
2023-02-21,933.42,919.71,936.99,916.87,11880000
2023-02-20,909.12,890.87,911.29,888.78,17350000
2023-02-17,878.39,852.64,889.34,851.97,7810000
2023-02-16,858.57,855.43,858.88,849.9,4490000
2023-02-15,849.04,832.78,865.82,832.29,4690000
2023-02-14,829.82,829.75,839.65,827.78,1720000
2023-02-13,825.37,819.65,826.34,811.0,1570000
2023-02-10,823.84,823.7,825.42,815.41,1870000
2023-02-09,826.35,824.53,831.85,824.18,2020000
2023-02-08,826.71,822.86,831.24,821.49,1580000
2023-02-07,818.57,823.2,826.04,815.84,1730000
2023-02-06,825.62,826.37,836.45,823.99,2089999
2023-02-03,831.88,833.4,834.59,823.83,1740000
2023-02-02,837.96,851.6,854.91,834.67,1660000
2023-02-01,844.0,842.3,846.22,837.84,1470000
2023-01-31,839.11,848.87,850.38,837.6,2089999
2023-01-30,846.41,857.98,863.63,846.18,1800000
2023-01-27,861.11,855.12,864.18,849.97,1580000
2023-01-26,855.04,837.31,855.17,833.17,1610000
2023-01-25,837.16,852.25,857.44,835.85,1580000
2023-01-20,849.25,831.92,850.08,830.33,1320000
2023-01-19,832.95,825.18,838.85,824.06,1130000
2023-01-18,833.55,837.45,838.4,825.46,1830000
2023-01-17,836.4,841.6,851.55,834.94,1610000
2023-01-16,843.84,834.64,849.35,832.36,2160000
2023-01-13,835.04,818.99,840.22,818.43,2980000
